file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
ellipsoid_5_7,1,13,up,-8.071355819702148,-0.052346739917993546,-0.0653403103351593,8.123916614000224,-0.053510255010599785,-0.018676760036719378,0.9983926237924795
ellipsoid_5_7,1,14,up,-8.512398719787598,3.8271028995513916,-0.04768231511116028,7.949154891887672,-0.07191685198931193,0.30475892314946645,0.9497104638576565
ellipsoid_5_7,1,15,up,-9.093605995178223,7.779117584228516,0.023002199828624725,6.637763717597156,-0.13975527996585738,0.7350966337750754,0.6634013873472211
ellipsoid_5_7,1,16,up,0.07072632014751434,-0.06748384982347488,-0.08275885134935379,8.468575985535013,0.0582024795027993,-0.017005128091544426,0.9981599556174935
ellipsoid_5_7,1,17,up,0.05280391871929169,3.9051218032836914,-0.04238883778452873,8.287005713439216,0.049236669356858026,0.29410611387023,0.9545037161660477
ellipsoid_5_7,1,18,up,0.013280458748340607,7.939763069152832,0.011172843165695667,6.753228826235263,0.026495465916079205,0.7605293668041146,0.6487627243564648
ellipsoid_5_7,1,19,up,8.16183853149414,-0.007558637298643589,-0.08558381348848343,8.39430900421359,0.12549027551538022,-0.010050323955700472,0.9920439414357912
ellipsoid_5_7,1,20,up,8.57608699798584,3.8056745529174805,-0.06939012557268143,8.152269790946564,0.13630250148664186,0.2973252182958683,0.9449970066903907
ellipsoid_5_7,1,21,up,9.084519386291504,7.694616317749023,-0.04320927709341049,6.7175212944127765,0.16423999729150784,0.7449896579951928,0.6465412846600681
ellipsoid_5_7,1,22,up,15.593234062194824,0.062438614666461945,-0.039168890565633774,7.944558448564564,0.17734409862068098,-0.007490748993526819,0.984120398815071
ellipsoid_5_7,1,23,up,16.379562377929688,3.4044156074523926,-0.0364595390856266,7.585458296056704,0.19477661537840904,0.270366428085978,0.9428489087153683
ellipsoid_5_7,1,24,up,17.293485641479492,6.822488784790039,-0.06753263622522354,6.183489219305034,0.260350577627583,0.6912488480703446,0.6740864979885042
ellipsoid_5_7,1,25,up,21.911827087402344,0.05846797674894333,-0.009595775976777077,7.224229640747702,0.2254604611144981,-0.0036603749602377163,0.9742454424472246
ellipsoid_5_7,1,26,up,23.007286071777344,2.6118693351745605,-0.016707254573702812,6.862986803795805,0.25073449857841223,0.22780508746356554,0.9408703701086296
ellipsoid_5_7,1,27,up,24.166656494140625,5.23519229888916,-0.03739243000745773,5.857080291130867,0.31872047474349574,0.5508368183009964,0.771359876181874
ellipsoid_5_7,1,28,up,26.336936950683594,0.01576698198914528,-0.021408068016171455,6.2336255246280565,0.27165396723137963,-0.006415027085764193,0.9623736122291288
ellipsoid_5_7,1,29,up,27.68058967590332,1.4227334260940552,-0.02191925048828125,5.947818043367717,0.3171548196743276,0.1403822383287355,0.9379262484434258
ellipsoid_5_7,1,30,up,29.059017181396484,2.8747899532318115,-0.016889799386262894,5.308490820491544,0.39279258427858105,0.32612486820495157,0.8598584511848778
ellipsoid_5_7,1,31,up,27.954410552978516,0.001052411855198443,-0.017128420993685722,5.909504623770816,0.31416148174791597,-0.003888775512157251,0.9493615964483554
ellipsoid_5_7,1,32,up,29.37481117248535,-0.009754174388945103,-0.004599889274686575,5.5532907884355565,0.3611951254519246,-0.002271329343200731,0.9324874918264499
ellipsoid_5_7,1,33,up,30.82931900024414,-0.019238773733377457,0.01780591905117035,5.096728152427029,0.4238560027909843,-0.0016279807327076777,0.9057281261928345
ellipsoid_5_7,1,34,up,27.60832405090332,-1.4153172969818115,-0.013993782922625542,5.9359409594284545,0.30955312587491185,-0.14526545573711805,0.9397206018974781
ellipsoid_5_7,1,35,up,28.895734786987305,-2.8918356895446777,0.0019076282624155283,5.280685952725015,0.36800194565578925,-0.32407049775738,0.8715233103462222
ellipsoid_5_7,1,36,up,22.91217803955078,-2.5096435546875,-0.02177228219807148,6.823636042661812,0.24147724830253892,-0.23004249224108242,0.9427455596902833
